#kic fratio(Kepband) log10(T1) log10(T2) logg1 logg2
5036538 8.036325e-01 3.6279 3.6155 4.53 4.53
5036966 2.408966e-01 3.8857 3.8043 4.11 4.28
5039441 1.908472e-02 3.7911 3.5808 4.37 4.71
5113053 4.940377e-01 3.7935 3.7680 4.26 4.40
5181455 2.804418e-02 3.7810 3.5888 4.40 4.72
5193386 3.109819e+00 3.8806 3.7423 4.24 3.24
5215700 9.328453e-01 3.8144 3.8081 4.21 4.17
5217733 4.395392e-02 4.4397 4.2639 3.73 4.31
5264304 2.204127e-01 3.7887 3.7107 4.45 4.69
5269407 4.025483e-02 3.8913 3.7058 4.31 4.69
5284133 6.221326e-02 3.8912 3.7276 4.27 4.57
5288543 2.166494e-01 3.8561 3.8035 4.12 4.48
5300878 8.979824e-01 3.7050 3.7000 4.49 4.51
5310435 3.042913e-02 3.9510 3.6967 3.61 3.79
5347784 1.708823e+00 3.7561 3.7504 4.26 4.05
5359678 3.031826e-01 3.8212 3.7849 4.17 4.47
5392897 1.541794e-01 3.8006 3.7598 3.98 4.52
5393558 2.040738e+00 3.7529 3.7842 4.52 4.39
5460835 2.262910e-01 3.7959 3.7373 4.28 4.59
5462901 1.050885e-01 3.6216 3.5326 4.75 4.88
5473556 2.276699e-01 3.8103 3.7800 4.02 4.45
5475712 5.618839e-02 4.0327 3.8971 3.83 4.45
5479973 1.261109e-01 3.7551 3.6730 3.73 3.89
5481426 4.025037e-01 3.6540 3.6025 4.65 4.67
5513861 7.710826e-01 3.8215 3.8164 4.09 4.16
5530881 5.146927e-02 3.8460 3.6827 4.30 4.60
5534702 1.840630e-01 3.9166 3.8403 4.10 4.42
5535280 1.353359e+00 3.7541 3.7826 4.43 4.47
5553624 3.528535e-01 3.7870 3.7396 4.37 4.54
5565486 9.897382e-01 3.8444 3.8440 4.12 4.12
5597970 9.578138e-03 3.7408 3.5326 4.53 4.96
5598639 9.874498e-01 3.8584 3.8579 4.06 4.06
5610698 1.863641e-02 3.8020 3.6109 3.67 3.99
5622250 1.622857e-02 3.8123 3.6022 4.24 4.69
5632781 1.336400e+00 3.7840 3.7717 3.80 3.62
5640750 1.424405e+01 3.9025 3.7663 4.10 2.46
5649206 9.463488e-01 3.5414 3.5406 4.30 4.23
5649956 2.711189e-01 3.7642 3.7541 3.99 4.44
5652260 2.514822e-01 3.7672 3.7130 4.28 4.57
5716244 1.043908e-02 3.8190 3.6621 3.76 4.72
5731312 1.981373e-01 3.7168 3.6207 4.61 4.68
5735878 1.621246e-03 3.7985 3.5314 4.07 4.92
5736461 1.370785e+00 3.7631 3.7779 4.14 4.08
5738506 9.041163e-01 3.6407 3.6349 4.25 4.24
5738698 7.896911e-01 3.8964 3.8930 4.07 4.14
5781192 2.630580e-01 3.7672 3.7013 4.41 4.58
5786154 1.348559e+01 3.8658 3.7142 4.18 2.47
5802470 1.155074e-01 3.7662 3.6565 4.43 4.65
5807579 9.064193e-01 3.7905 3.7816 4.40 4.40
5816806 1.522733e-01 3.7451 3.6875 4.18 4.57
5871918 1.139602e-01 3.6278 3.5324 4.61 4.77
5955321 9.502930e-01 3.7920 3.7902 4.35 4.36
5962514 9.604073e-02 3.8437 3.7602 3.98 4.46
5962716 1.483846e-01 3.8024 3.7855 3.87 4.48
5986209 6.685633e-01 3.7608 3.7382 4.55 4.59
6029130 7.024539e-01 3.7585 3.7412 4.48 4.54
6042116 8.022611e-02 3.9836 3.8489 3.95 4.42
6042663 1.143784e-01 3.7652 3.6399 4.51 4.68
6058875 5.959081e-01 3.8000 3.7813 4.42 4.54
6066379 1.719736e-02 3.8024 3.6030 3.98 4.35
6109688 5.611291e-03 3.8339 3.5775 4.16 4.74
6128027 7.741705e-02 3.7213 3.5549 4.50 4.48
6131659 1.491320e-01 3.7723 3.6656 4.47 4.68
6147573 1.011142e+00 3.7864 3.7872 4.42 4.42
