##
## Kepler Eclipsing Binary Catalog
## Revision Date (Y/M/D): Oct. 26; 2015; 3:04 p.m.
## Download Date (Y/M/D): 2016/02/01
##
## Query String: {&quot;sort&quot;:&quot;p&quot;;&quot;kics&quot;:[];&quot;campaign&quot;:[&quot;-2&quot;];&quot;etvlong&quot;:1;&quot;cols&quot;:[&quot;sdepth&quot;;&quot;pdepth&quot;;&quot;glon&quot;;&quot;scdata&quot;;&quot;pteff&quot;;&quot;cteff&quot;;&quot;ra&quot;;&quot;bjd0&quot;;&quot;morph&quot;;&quot;glat&quot;;&quot;kic&quot;;&quot;lcdata&quot;;&quot;dec&quot;;&quot;keff&quot;;&quot;p&quot;;&quot;sep&quot;;&quot;pwidth&quot;;&quot;swidth&quot;;&quot;figs&quot;;&quot;kmag&quot;];&quot;etvshort&quot;:1;&quot;incat1&quot;:1;&quot;kois&quot;:[]}
##
#KIC;period;bjd0;pdepth;sdepth;pwidth;swidth;sep;morph;RA;DEC;GLon;GLat;kmag;Teff;Teff(Pinsonneault);Teff(Casagrande);SC;
11568987;15.9599451;55004.508731;0.0005;-1.0000;0.0121;-1.0000;1.0000;0.10;296.4186;49.5401;82.7335;12.2128;13.2350;5941.0000;6282.0000;-9999.0000;1;
11874338;15.9751769;55000.662796;0.0006;-1.0000;0.0090;-1.0000;1.0000;0.12;296.6720;50.1501;83.3639;12.3522;13.9330;5041.0000;5212.0000;5123.0000;0;
11408935;15.9950902;54980.304697;0.0482;-1.0000;0.0225;-1.0000;1.0000;0.15;294.7808;49.2736;81.9917;13.0390;15.2840;5660.0000;5959.0000;6010.0000;1;
4078157;16.0246714;54960.327077;0.0122;-1.0000;0.0098;-1.0000;1.0000;0.07;296.4794;39.1276;73.4760;7.1909;15.4840;5547.0000;-1.0000;-1.0000;0;
5796675;16.0806761;54967.517223;0.0030;-1.0000;0.0083;-1.0000;1.0000;0.05;293.5919;41.0952;74.1665;10.0684;13.6530;4628.0000;4886.0000;4901.0000;1;
9965206;16.2275503;55196.824579;0.1837;0.1536;0.0099;0.0117;0.5154;0.09;297.1904;46.8265;80.5433;10.4757;15.9010;5092.0000;-1.0000;-1.0000;0;
5622250;16.2942135;54976.192955;0.1661;0.0145;0.0130;0.0145;0.2990;0.09;292.5132;40.8276;73.5474;10.6720;14.2030;6215.0000;6486.0000;6096.0000;0;
8879427;16.3132849;54969.853160;0.0674;0.0018;0.0101;0.0103;0.7773;0.07;289.5367;45.1051;76.5456;14.4765;14.5240;5715.0000;5996.0000;5976.0000;0;
3729724;16.4187555;54999.176469;-0.0018;-1.0000;0.0767;-1.0000;1.0000;-1.00;285.6555;38.8505;69.4328;14.6093;12.0930;-1.0000;-1.0000;-1.0000;0;
6421188;16.4343542;54969.287716;0.0482;0.0022;0.0127;0.0166;0.3767;0.09;282.9060;41.8318;71.4868;17.6728;13.8140;5657.0000;5949.0000;-9999.0000;0;
10485250;16.4697832;55013.886118;0.0072;-1.0000;0.0241;-1.0000;1.0000;0.20;297.1544;47.6687;81.2835;10.9009;15.7880;4957.0000;5152.0000;5037.0000;1;
6448768;16.4867982;54981.090131;0.0531;0.0040;0.0181;0.0336;0.3940;0.13;293.7218;41.8731;74.9140;10.3393;13.6450;5859.0000;6106.0000;5863.0000;0;
8023317;16.5790023;54979.733478;0.0357;0.0016;0.0182;0.0167;0.6583;0.13;289.9703;43.8205;75.4709;13.6645;12.8870;5625.0000;5862.0000;6144.0000;1;
5979863;16.6218542;54966.551875;0.0574;0.0015;0.0095;0.0100;0.5202;0.07;297.0000;41.2900;75.5739;7.9046;15.2290;5698.0000;6012.0000;6044.0000;0;
6847018;16.6621665;54958.523585;0.0275;-1.0000;0.0085;-1.0000;1.0000;0.06;286.3003;42.3748;72.9902;15.5373;13.3440;6211.0000;6429.0000;6494.0000;0;
5735878;16.8320824;54966.174410;0.0527;0.0019;0.0198;0.0156;0.2429;0.14;299.1617;40.9270;76.0797;6.3132;13.1250;6045.0000;6363.0000;6196.0000;0;
7672068;16.8361771;55005.325304;-0.0009;-1.0000;0.0837;-1.0000;1.0000;-1.00;287.8638;43.3042;74.3423;14.8478;12.4340;5942.0000;6210.0000;6062.0000;0;
7987749;17.0308540;54978.541993;0.0735;0.0338;0.0089;0.0101;0.4095;0.06;299.8216;43.7603;78.7821;7.3457;14.4610;5349.0000;5575.0000;5633.0000;0;
7751562;17.0421586;54975.425584;0.0538;0.0017;0.0187;0.0173;0.6264;0.13;291.2846;43.4053;75.4993;12.6267;15.2520;5951.0000;6188.0000;5963.0000;0;
8356054;17.0812314;55282.974394;0.2909;0.1248;0.0095;0.0149;0.5192;0.07;287.9726;44.3336;75.3529;15.1843;15.8630;5231.0000;-1.0000;-1.0000;0;
3342592;17.1773261;54969.191539;0.0249;-1.0000;0.0195;-1.0000;1.0000;0.13;291.5563;38.4463;71.0473;10.2608;14.9230;5717.0000;6007.0000;5838.0000;0;
2719873;17.2792902;54968.273349;0.1642;0.0085;0.0106;0.0143;0.4989;0.07;292.9306;37.9644;71.1098;9.0799;15.1600;5086.0000;5362.0000;5087.0000;0;
9001468;17.3299655;54975.726452;0.2384;0.0582;0.0166;0.0072;0.3102;0.12;282.7616;45.3985;74.9722;19.0100;15.2000;4949.0000;5153.0000;5036.0000;0;
6842345;17.3816119;55010.171917;0.0552;-1.0000;0.0070;-1.0000;1.0000;0.04;284.1321;42.3504;72.3381;17.0121;15.5670;5834.0000;6134.0000;5878.0000;0;
6522750;17.4456414;54968.745463;0.2998;0.1523;0.0129;0.0137;0.5449;0.09;291.9289;41.9564;74.3777;11.5679;11.2300;5547.0000;5802.0000;5858.0000;1;
4044005;17.5119471;54954.747545;0.0041;-1.0000;0.0041;-1.0000;1.0000;0.02;287.6163;39.1272;70.3270;13.3262;12.3360;-1.0000;-1.0000;-1.0000;1;
6131659;17.5278303;54960.041397;0.3205;0.1036;0.0114;0.0111;0.4998;0.09;294.2791;41.4369;74.7165;9.7685;12.5340;4870.0000;5087.0000;5336.0000;1;
8075618;17.5612071;54970.923039;0.0849;0.0856;0.0065;0.0064;0.5001;0.04;281.5979;43.9765;73.2602;19.3126;15.6740;5288.0000;5437.0000;6060.0000;0;
11187837;17.6045870;54968.290311;0.0021;-1.0000;0.0111;-1.0000;1.0000;0.09;290.4015;48.8226;80.3107;15.4443;15.6130;3897.0000;-9999.0000;-9999.0000;1;
5546761;17.6706523;54964.588566;0.0003;-1.0000;0.0165;-1.0000;1.0000;0.15;295.4812;40.7320;74.5197;8.6371;14.8740;5564.0000;5810.0000;5621.0000;1;
4079530;17.7271000;54994.771374;0.1285;0.0054;0.0091;0.0157;0.3628;0.07;296.7345;39.1861;73.6253;7.0473;15.5560;5755.0000;-1.0000;-1.0000;0;
3230787;17.7340523;54959.183688;0.1824;-1.0000;0.0134;-1.0000;1.0000;0.09;290.2548;38.3417;70.4925;11.1293;12.5530;5669.0000;5905.0000;6085.0000;1;
6145939;17.7454139;55006.195223;0.0798;-1.0000;0.0073;-1.0000;1.0000;0.05;297.6765;41.4286;75.9485;7.5315;12.3660;6090.0000;-1.0000;-1.0000;0;
12251650;17.7619949;54971.658491;0.0228;-1.0000;0.0051;-1.0000;1.0000;0.03;287.4610;50.9751;81.6329;18.0162;14.7620;4952.0000;5167.0000;4941.0000;0;
7812175;17.7939247;55002.612666;0.0781;0.0173;0.0088;0.0095;0.4134;0.06;288.0242;43.5458;74.6197;14.8373;16.3280;-1.0000;-1.0000;-1.0000;0;
5807579;17.8443251;54966.693941;0.2090;0.0413;0.0099;0.0130;0.3378;0.07;296.3493;41.0730;75.1411;8.2262;13.7450;-1.0000;-1.0000;-1.0000;0;
12316447;17.9077000;55008.519184;0.2335;0.0232;0.0130;0.0124;0.7296;0.09;296.1154;51.0071;83.9758;13.0614;16.1070;5934.0000;-1.0000;-1.0000;0;
10198109;17.9187428;54979.392203;0.1261;0.0054;0.0094;0.0166;0.6628;0.07;287.4935;47.2247;77.9904;16.6111;13.7760;5592.0000;5971.0000;5653.0000;0;
